Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured;uncultured bacterium,854 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;(NS10 marine group),580 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;(Arcobacteraceae);(Arcobacteraceae),333 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Poseidonibacter;bioreactor metagenome,319 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria);(Gammaproteobacteria);(Gammaproteobacteria);(Gammaproteobacteria),293 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;uncultured Flavobacteriia bacterium,250 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas;(Marinomonas),237 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;uncultured marine bacterium,189 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;(Flavobacteriales);(Flavobacteriales);(Flavobacteriales),184 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;(Bacteria);(Bacteria);(Bacteria);(Bacteria);(Bacteria);(Bacteria),171 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas;Marinomonas blandensis,171 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa,165 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;(Flavobacteriaceae);(Flavobacteriaceae),138 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;uncultured bacterium,137 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola;Glaciecola sp. HTCC2999,124 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;(Rhodobacteraceae);(Rhodobacteraceae),90 RG-B7_S31.phyloFlash.NTUfull_abundance.csv
