Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria);(Gammaproteobacteria);(Gammaproteobacteria);(Gammaproteobacteria),954 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured;uncultured bacterium,743 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;(Colwelliaceae);(Colwelliaceae),627 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;uncultured bacterium,618 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;(NS10 marine group),610 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;(Colwellia),456 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas;(Marinomonas),454 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas;Marinomonas blandensis,384 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;(Saccharospirillaceae);(Saccharospirillaceae),338 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio sp. SW2-3C2,313 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna;uncultured bacterium,290 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;(Vibrio),269 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;(Oceanospirillales);(Oceanospirillales);(Oceanospirillales),259 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;uncultured;uncultured bacterium,237 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;uncultured Flavobacteriia bacterium,227 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;(Alteromonadales);(Alteromonadales);(Alteromonadales),225 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;uncultured bacterium,204 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio alginolyticus,200 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus;(Oleiphilus),197 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;(Bacteroidia);(Bacteroidia);(Bacteroidia);(Bacteroidia),195 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Oleispira;uncultured bacterium,194 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;(Flavobacteriales);(Flavobacteriales);(Flavobacteriales),186 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;(Bacteria);(Bacteria);(Bacteria);(Bacteria);(Bacteria);(Bacteria),181 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Thalassotalea;uncultured bacterium,167 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;uncultured bacterium,163 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio tasmaniensis LGP32,157 RG-C1_S37.phyloFlash.NTUfull_abundance.csv
